File,Schema
agents-spec/tasking-agent/agent-state.json,schemas/agent-schema.json
agents-spec/tasking-agent/checklist.json,schemas/agent-schema.json
agents-spec/tasking-agent/heuristics.json,schemas/agent-schema.json
agents-spec/tasking-agent/identity.json,schemas/agent-schema.json
agents-spec/tasking-agent/lifecycle.json,schemas/agent-schema.json
agents-spec/tasking-agent/ux-profile.json,schemas/agent-schema.json
agents-spec/tasking-agent/checklists/core-checklist.json,INVALID
agents-spec/ux-agent/agent-metadata.json,INVALID
agents-spec/ux-agent/agent-state.json,schemas/agent-schema.json
agents-spec/ux-agent/checklist.json,schemas/agent-schema.json
agents-spec/ux-agent/heuristics.json,schemas/agent-schema.json
agents-spec/ux-agent/identity.json,schemas/agent-schema.json
agents-spec/ux-agent/lifecycle.json,schemas/agent-schema.json
agents-spec/ux-agent/ux-profile.json,schemas/agent-schema.json
agents-spec/voting-agent/agent-ledger.json,schemas/agent-schema.json
agents-spec/voting-agent/agent-metadata.json,INVALID
agents-spec/voting-agent/agent-state.json,schemas/agent-schema.json
agents-spec/voting-agent/checklist.json,schemas/agent-schema.json
agents-spec/voting-agent/identity.json,schemas/agent-schema.json
agents-spec/voting-agent/lifecycle.json,schemas/agent-schema.json
agents-spec/voting-agent/ux-profile.json,schemas/agent-schema.json
canonical-model/routine-definition.json,schemas/routine-schema.json
checkpoints/index.json,schemas/default-schema.json
checkpoints/session_boot.json,schemas/default-schema.json
config/agent-registry.json,schemas/agent-schema.json
config/cleanup-before-release.json,schemas/default-schema.json
config/eval-hooks.json,schemas/default-schema.json
config/goal-tree.json,schemas/goal-schema.json
config/llm-capabilities.json,schemas/default-schema.json
config/llm-context-router.json,schemas/default-schema.json
config/override-rules.json,schemas/default-schema.json
config/performance-milestones.json,schemas/default-schema.json
config/preferences.json,schemas/default-schema.json
config/prompt-replay.json,schemas/default-schema.json
config/release-manifest.json,schemas/default-schema.json
config/release-preferences.json,schemas/default-schema.json
config/release-readiness-audit.json,schemas/default-schema.json
config/schema-config.json,schemas/default-schema.json
config/systemic-expansion.json,schemas/default-schema.json
config/tasks.json,INVALID
config/zip-integrity-checklist.json,schemas/default-schema.json
control-panel/panel-config.json,schemas/default-schema.json
core/forecast-task-docbot.json,schemas/task-schema.json
core/forecast-task-feedbacker.json,schemas/task-schema.json
core/forecast-task-forecaster.json,schemas/task-schema.json
core/forecast-task-planner.json,schemas/task-schema.json
core/forecast-task-schemaenforcer.json,schemas/task-schema.json
core/memory-bridge.json,schemas/memory-schema.json
core/memory_bank.json,INVALID
core/task-agent-check-docbot.json,schemas/agent-schema.json
core/task-agent-check-feedbacker.json,schemas/agent-schema.json
core/task-agent-check-forecaster.json,schemas/agent-schema.json
core/task-agent-check-planner.json,schemas/agent-schema.json
core/task-agent-check-schemaenforcer.json,schemas/agent-schema.json
core/task-agent-driven-evolution.json,schemas/agent-schema.json
core/task-agent-identity-review.json,schemas/agent-schema.json
core/task-bootstrap-and-memory-loading.json,schemas/task-schema.json
core/task-feature-ref-linking.json,schemas/task-schema.json
core/task-full-system-audit.json,schemas/task-schema.json
core/task-global-resilience-audit.json,schemas/task-schema.json
core/task-ongoing-validation-cycle.json,schemas/task-schema.json
core/task-restructure-root-layout.json,schemas/task-schema.json
core/task-runtime-scale-docbot.json,schemas/task-schema.json
core/task-runtime-scale-feedbacker.json,schemas/task-schema.json
core/task-runtime-scale-forecaster.json,schemas/task-schema.json
core/task-runtime-scale-planner.json,schemas/task-schema.json
core/task-runtime-scale-schemaenforcer.json,schemas/task-schema.json
core/task-seed-docbot-phase-task.json,schemas/task-schema.json
core/task-seed-feedbacker-phase-task.json,schemas/task-schema.json
core/task-seed-forecaster-phase-task.json,schemas/task-schema.json
core/task-seed-planner-phase-task.json,schemas/task-schema.json
core/task-seed-schemaenforcer-phase-task.json,schemas/task-schema.json
core/task-simulate-zone-relay.json,schemas/task-schema.json
core/task-task-tbd.json,schemas/task-schema.json
core/conversational/debate.json,schemas/default-schema.json
core/evaluation/calculate-agent-evolution-score.json,schemas/agent-schema.json
core/evaluation/plan-retrospective.json,schemas/default-schema.json
core/evaluation/sandbox-replay.json,schemas/default-schema.json
core/governance/enforce-resilience-logic.json,schemas/log-schema.json
core/governance/validate-upgrade-proposals.json,schemas/default-schema.json
core/operational/feature-sync-and-memory-audit.json,schemas/memory-schema.json
core/operational/finalize-project-integrity.json,schemas/default-schema.json
core/operational/lifecycle.json,schemas/default-schema.json
core/operational/llm-session-router.json,schemas/default-schema.json
core/operational/pattern-audit.json,schemas/default-schema.json
core/operational/regenerate-system-snapshot.json,schemas/default-schema.json
core/operational/routine-gap-detection.json,schemas/routine-schema.json
core/operational/routine-manifest.json,schemas/routine-schema.json
core/operational/routine-metadata.json,schemas/routine-schema.json
core/operational/self-healing-memory-sync.json,INVALID
core/operational/self-introspection.json,schemas/default-schema.json
core/operational/self-review-hook.json,schemas/default-schema.json
core/operational/sync-memory-feature-map.json,schemas/memory-schema.json
core/operational/system-evolve-cycle.json,schemas/default-schema.json
core/operational/validate-canonical-models.json,schemas/default-schema.json
core/operational/validate-full-framework-state.json,schemas/default-schema.json
core/operational/validate-project-structure.json,schemas/default-schema.json
core/operational/weekly-resilience-audit.json,schemas/default-schema.json
core/routines/memory-compaction.json,schemas/memory-schema.json
core/tasks/task-agent-alignment-scan.json,schemas/agent-schema.json
core/tasks/task-agent-goal-generation.json,schemas/agent-schema.json
core/tasks/task-audit-v21-before-v22.json,schemas/task-schema.json
core/tasks/task-begin-v23-cycle.json,schemas/task-schema.json
core/tasks/task-continuous-evolution-cycle.json,schemas/task-schema.json
core/tasks/task-create-pipeline-folder.json,schemas/pipeline-schema.json
core/tasks/task-discovery-intent-cycle.json,schemas/task-schema.json
core/tasks/task-docbot-onboarding-doc.json,schemas/task-schema.json
core/tasks/task-docbot-summary-cards.json,schemas/task-schema.json
core/tasks/task-docbot-version-changelog.json,schemas/task-schema.json
core/tasks/task-document-folder-structure-guidelines.json,schemas/task-schema.json
core/tasks/task-enhance-file-router-metadata.json,schemas/task-schema.json
core/tasks/task-expand-longterm-agents.json,schemas/agent-schema.json
core/tasks/task-feedback-loop-from-user.json,schemas/task-schema.json
core/tasks/task-feedbacker-anomaly-detection.json,schemas/task-schema.json
core/tasks/task-feedbacker-monthly-summary.json,schemas/task-schema.json
core/tasks/task-feedbacker-trend-analysis.json,schemas/task-schema.json
core/tasks/task-fix-missing-core-agents.json,schemas/agent-schema.json
core/tasks/task-framework-live-deployment-mode.json,schemas/task-schema.json
core/tasks/task-generate-file-router.json,schemas/task-schema.json
core/tasks/task-implement-cross-reference-system.json,schemas/task-schema.json
core/tasks/task-llm-context-suggestions.json,schemas/task-schema.json
core/tasks/task-llm-memory-tracker.json,schemas/task-schema.json
core/tasks/task-llm-routing-runtime.json,schemas/task-schema.json
core/tasks/task-log-replay-for-improvement.json,schemas/task-schema.json
core/tasks/task-planner-milestone-calendar.json,schemas/task-schema.json
core/tasks/task-planner-task-grouping.json,schemas/task-schema.json
core/tasks/task-planner-timeline-cycles.json,schemas/task-schema.json
core/tasks/task-rebuild-core-structure.json,schemas/task-schema.json
core/tasks/task-refactor-root-structure.json,schemas/task-schema.json
core/tasks/task-regenerate-file-router.json,schemas/task-schema.json
core/tasks/task-review-checklist-coverage.json,schemas/task-schema.json
core/tasks/task-runtime-discovery-metadata-update.json,schemas/task-schema.json
core/tasks/task-schema-diff-viewer.json,schemas/task-schema.json
core/tasks/task-schema-runtime-validation.json,schemas/task-schema.json
core/tasks/task-schema-version-lock.json,schemas/task-schema.json
core/tasks/task-setup-metadata-validation-pipeline.json,schemas/pipeline-schema.json
core/tasks/task-simulate-onboarding-sequence.json,schemas/task-schema.json
core/tasks/task-snapshot-live-user-release.json,schemas/task-schema.json
core/tasks/task-task-tbd.json,schemas/task-schema.json
core/tasks/task-trigger-user-checklist.json,schemas/task-schema.json
core/tasks/task-update-checklist-doc-links.json,schemas/task-schema.json
core/tasks/task-user-goal-setting.json,schemas/task-schema.json
docs/intent-discovery-v18.json,schemas/default-schema.json
docs/intent-discovery-v19.json,schemas/default-schema.json
docs/navigation-index.json,schemas/default-schema.json
docs/persona-guide.json,schemas/default-schema.json
docs/registered-template.json,schemas/default-schema.json
docs/roadmap-agent-goal-proposals.json,schemas/agent-schema.json
docs/roadmap-patch-trust-filter.json,schemas/default-schema.json
docs/roadmap-v0.26.0-tasks.json,INVALID
docs/roadmap-v0.29.0-tasks.json,INVALID
docs/system-index.json,schemas/default-schema.json
docs/generated/phase12-market-token-dashboard.json,INVALID
features/feature-map.json,schemas/default-schema.json
forecasts/forecast-docbot.json,schemas/default-schema.json
forecasts/forecast-feedbacker.json,schemas/feedback-schema.json
forecasts/forecast-forecaster.json,schemas/default-schema.json
forecasts/forecast-planner.json,schemas/default-schema.json
forecasts/forecast-schemaenforcer.json,schemas/default-schema.json
forecasts/bootstrap-agent/timeline-memory.json,schemas/agent-schema.json
goals/goal-boot.json,schemas/goal-schema.json
goals/goal-docbot-6aff77.json,schemas/goal-schema.json
goals/goal-feedbacker-d6efda.json,schemas/goal-schema.json
goals/goal-forecaster-3adeea.json,schemas/goal-schema.json
goals/goal-reviewkeeper-e833d4.json,schemas/goal-schema.json
goals/goal-roadmap-boot.json,schemas/goal-schema.json
goals/goal-schemaenforcer-51f700.json,schemas/goal-schema.json
goals/goal-threads.json,schemas/goal-schema.json
goals/goal-timeline.json,schemas/goal-schema.json
governance/co-creation-protocol.json,schemas/default-schema.json
governance/lifecycle-policy.json,schemas/default-schema.json
governance/linting-rules.json,schemas/default-schema.json
governance/trust-orchestration.json,schemas/default-schema.json
governance/policies/marketplace-governance-v1.json,schemas/default-schema.json
governance/policies/swarm-governance-v1.json,schemas/default-schema.json
governance/policies/token-regeneration-v1.json,schemas/default-schema.json
governance/rules/rule-agents-cannot-edit-pipeline-map.json,schemas/agent-schema.json
memory-bank/control-state.json,schemas/memory-schema.json
memory-bank/index.json,schemas/memory-schema.json
memory-bank/memory-metadata.json,schemas/memory-schema.json
memory-bank/pattern-memory.json,schemas/memory-schema.json
memory-bank/upcoming-features.json,schemas/memory-schema.json
memory-bank/evolving/pending-tasks.json,schemas/task-schema.json
memory-bank/fixed/phase-10-temporal.json,schemas/memory-schema.json
memory-bank/fixed/phase-8-self-evolving.json,schemas/memory-schema.json
memory-bank/fixed/phase-9-federation.json,schemas/memory-schema.json
meta/active-context.json,schemas/default-schema.json
meta/file-router.json,schemas/default-schema.json
meta/intent-register-snapshot-introspection.json,schemas/default-schema.json
meta/intent.json,schemas/default-schema.json
meta/routine-backlinks.json,INVALID
meta/snapshot-introspection-manifest.json,schemas/default-schema.json
meta/intents/regenerate-system-snapshot-intent.json,schemas/default-schema.json
meta/trust/trust-index.json,schemas/default-schema.json
pipelines/orchestrator-release-zip-pipeline.json,schemas/pipeline-schema.json
plans/agent-collab-performance-fork.json,schemas/agent-schema.json
plans/agent-collab-plan.json,schemas/agent-schema.json
plans/intent-release-v0.24.0.json,schemas/default-schema.json
plans/next-evolution-phase.json,schemas/default-schema.json
plans/phase-10-routing-autonomy.json,schemas/default-schema.json
plans/phase-11-swarm-memory-convergence.json,schemas/memory-schema.json
plans/phase-12-agent-market-economy.json,schemas/agent-schema.json
plans/phase-13-agent-challenges-and-reflection.json,schemas/agent-schema.json
plans/phase-14-memory-alignment-and-role-negotiation.json,schemas/memory-schema.json
plans/phase-9-system-evolution.json,schemas/default-schema.json
plans/structured-plans.json,schemas/default-schema.json
plans/agent-srp-cleanup/plan.json,schemas/agent-schema.json
plans/agent-srp-cleanup/tasks.json,schemas/agent-schema.json
plans/bootstrap/plan.json,schemas/default-schema.json
plans/bootstrap/tasks.json,schemas/task-schema.json
plans/extend-agent-abstractions/plan.json,schemas/agent-schema.json
plans/extend-agent-abstractions/tasks.json,schemas/agent-schema.json
plans/feature-audit/plan.json,schemas/default-schema.json
